knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex
3_1,{1;1;1},4,4,4,14
4_1,{1;-2;1;-2},10,12,12,20
5_1,{1;1;1;1;1},6,6,6,122
5_2,{1;1;1;2;-1;2},16,18,22,152
6_1,{1;1;2;-1;-3;2;-3},48,50,64,226
6_2,{1;1;1;-2;1;-2},20,22,22,152
6_3,{1;1;-2;1;-2;-2},22,24,24,140
7_1,{1;1;1;1;1;1;1},8,8,8,1094
7_2,{1;1;1;2;-1;2;3;-2;3},74,76,128,1562
7_3,{1;1;1;1;1;2;-1;2},26,28,32,1340
7_4,{1;1;2;-1;2;2;3;-2;3},78,80,134,1502
7_5,{1;1;1;1;2;-1;2;2},30,32,38,1184
7_6,{1;1;-2;1;3;-2;3},62,64,64,226
7_7,{-1;2;-1;2;-3;2;-3},68,70,70,206
8_1,{1;1;2;-1;2;3;-2;-4;3;-4},210,212,372,2320
8_2,{1;1;1;1;1;-2;1;-2},30,32,32,1340
8_3,{1;1;2;-1;-3;2;-3;-4;3;-4},206,208,374,2332
8_4,{-1;-1;-1;2;-1;2;3;-2;3},90,92,128,1562
8_5,{1;1;1;-2;1;1;1;-2},40,42,42,1136
8_6,{1;1;1;1;2;-1;-3;2;-3},86,88,102,1918
8_7,{-1;-1;-1;-1;2;-1;2;2},36,38,38,1184
8_8,{-1;-1;-1;-2;1;3;-2;3;3},96,98,118,1726
8_9,{1;1;1;-2;1;-2;-2;-2},38,40,40,1148
8_10,{-1;-1;-1;2;-1;-1;2;2},44,46,46,1016
8_11,{1;1;2;-1;2;2;-3;2;-3},98,100,134,1502
8_12,{1;-2;1;3;-2;-4;3;-4},166,168,168,360
8_13,{1;1;-2;1;-2;-2;-3;2;-3},104,106,134,1502
8_14,{1;1;1;2;-1;2;-3;2;-3},102,104,128,1562
8_15,{1;1;-2;1;3;2;2;2;3},98,100,132,1498
8_16,{-1;-1;2;-1;-1;2;-1;2},64,66,66,744
8_17,{1;1;-2;1;-2;1;-2;-2},62,64,64,756
8_18,{1;-2;1;-2;1;-2;1;-2},86,88,88,556
8_19,{1;1;1;2;1;1;1;2},14,22,42,1136
8_20,{1;1;1;-2;-1;-1;-1;-2},20,22,42,1136
