knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex,mgr acyclic
3_1,{1;1;1},4,4,4,14,yes
4_1,{1;-2;1;-2},12,12,12,20,yes
5_1,{1;1;1;1;1},6,6,6,122,yes
5_2,{1;1;1;2;-1;2},18,18,22,152,yes
6_1,{1;1;2;-1;-3;2;-3},50,50,64,226,yes
6_2,{1;1;1;-2;1;-2},22,22,22,152,yes
6_3,{1;1;-2;1;-2;-2},24,24,24,140,yes
7_1,{1;1;1;1;1;1;1},8,8,8,1094,yes
7_2,{1;1;1;2;-1;2;3;-2;3},76,76,128,1562,yes
7_3,{1;1;1;1;1;2;-1;2},28,28,32,1340,yes
7_4,{1;1;2;-1;2;2;3;-2;3},80,80,134,1502,yes
7_5,{1;1;1;1;2;-1;2;2},32,32,38,1184,yes
7_6,{1;1;-2;1;3;-2;3},64,64,64,226,yes
7_7,{-1;2;-1;2;-3;2;-3},70,70,70,206,yes
8_1,{1;1;2;-1;2;3;-2;-4;3;-4},212,212,372,2320,yes
8_2,{1;1;1;1;1;-2;1;-2},32,32,32,1340,yes
8_3,{1;1;2;-1;-3;2;-3;-4;3;-4},208,208,374,2332,yes
8_4,{-1;-1;-1;2;-1;2;3;-2;3},92,92,128,1562,yes
8_5,{1;1;1;-2;1;1;1;-2},42,42,42,1136,yes
8_6,{1;1;1;1;2;-1;-3;2;-3},88,88,102,1918,yes
8_7,{-1;-1;-1;-1;2;-1;2;2},38,38,38,1184,yes
8_8,{-1;-1;-1;-2;1;3;-2;3;3},98,98,118,1726,yes
8_9,{1;1;1;-2;1;-2;-2;-2},40,40,40,1148,yes
8_10,{-1;-1;-1;2;-1;-1;2;2},46,46,46,1016,yes
8_11,{1;1;2;-1;2;2;-3;2;-3},100,100,134,1502,yes
8_12,{1;-2;1;3;-2;-4;3;-4},168,168,168,360,yes
8_13,{1;1;-2;1;-2;-2;-3;2;-3},106,106,134,1502,yes
8_14,{1;1;1;2;-1;2;-3;2;-3},104,104,128,1562,yes
8_15,{1;1;-2;1;3;2;2;2;3},100,100,132,1498,yes
8_16,{-1;-1;2;-1;-1;2;-1;2},66,66,66,744,yes
8_17,{1;1;-2;1;-2;1;-2;-2},64,64,64,756,yes
8_18,{1;-2;1;-2;1;-2;1;-2},88,88,88,556,yes
8_19,{1;1;1;2;1;1;1;2},16,22,42,1136,yes
8_20,{1;1;1;-2;-1;-1;-1;-2},22,22,42,1136,yes
8_21,{1;1;1;2;-1;-1;2;2},34,40,46,1016,yes
9_1,{1;1;1;1;1;1;1;1;1},10,10,10,9842,yes
9_2,{1;1;1;2;-1;2;3;-2;3;4;-3;4},322,322,746,16076,yes
9_3,{1;1;1;1;1;1;1;2;-1;2},38,38,42,12032,yes
9_4,{1;1;1;1;1;2;-1;2;3;-2;3},118,118,186,13766,yes
9_5,{1;1;2;-1;2;2;3;-2;3;4;-3;4},338,338,780,15440,yes
9_6,{1;1;1;1;1;1;2;-1;2;2},46,46,52,10580,yes
9_7,{1;1;1;1;2;-1;2;3;-2;3;3},134,134,222,12206,yes
9_8,{1;1;-2;1;-2;-3;2;4;-3;4},274,274,372,2320,yes
9_9,{1;1;1;1;1;2;-1;2;2;2},50,50,58,10112,yes
9_10,{1;1;2;-1;2;2;2;2;3;-2;3},130,130,204,12986,yes
